element,MDS_scaled
Rn,1.0
H,2.0
Kr,3.0
Lr,4.0
F,5.0
At,6.0
Fr,7.0
Ra,8.0
Re,12.14194829
S,14.85750163
Mo,14.98397393
W,15.31988907
Ag,18.3486605
Au,22.13705934
Hg,22.23128547
Cd,23.26653154
Tc,24.55304155
Os,25.04635649
Ru,25.57316325
Cu,26.57946217
Pd,27.24239368
Ir,27.54524241
Pt,27.69738062
Rh,28.32663243
Zn,30.30457901
Ni,30.77599938
Co,31.96419161
Fe,35.28720167
Mg,36.40694221
Cr,38.02240295
Ga,38.70138369
Mn,39.11279678
Al,39.99264759
V,42.56040954
Ti,44.8470615
Ta,46.27879152
Nb,46.42098222
Hf,47.43960184
Bk,47.79755085
Pm,47.92008253
Am,47.95047458
Sc,47.96248395
Pa,48.02513238
Cm,48.21272146
Zr,48.53589576
Pu,48.58223175
Np,48.77123155
Cf,48.80227836
Ac,48.82292279
Lu,49.37577006
Tm,49.41217796
Er,49.85893952
Ho,49.86985115
Dy,49.93970731
Tb,50.03201703
Yb,50.1193049
Y,50.14443116
Gd,50.28870103
Sm,50.36993754
Nd,50.79494432
Pr,50.82844229
Ce,50.97635736
Th,51.07836188
U,51.46377705
Eu,52.53032556
La,52.60819015
In,54.5396705
Ca,54.82836937
Sr,55.00812592
Ba,55.55631468
Sn,64.70997653
Pb,64.90994114
Tl,66.53467861
Si,68.37039553
Ge,69.14535852
Bi,72.04043663
Se,73.13384722
Li,75.01458272
K,77.82768479
Rb,78.24421661
Cs,78.41601969
Be,78.50008289
Te,78.91939068
Na,81.52530206
Sb,82.00381455
As,82.96039471
P,84.77164052
No,88.0
Cl,89.99105556
He,90.0
N,91.0
B,92.0
Po,93.0
Ar,94.0
Br,94.9982406
Ne,96.0
C,97.0
Md,98.0
Es,99.0
I,99.01070384
Xe,101.0
O,102.0
Fm,103.0
